SKU,Description,BPC,Recharge Price / Case
777511,Guinness Smooth 500ml RET 25X01 NCP,25,3707.81
777495,White Cap Lager 500ml RET 25X01 NCP,25,3912.57
777517,Guinness FES 500ml RET 25X01 NCP,25,4117.34
777509,Tusker Cider 500ml RET 25X01 NCP,25,3912.57
646715,Tusker In Keg 30L KEG,1,7339.93
764342,Hop House n Btl 500ml NRB 06X04 NRB CTN,24,4527.53
765876,Hop House n Btl 500ml RET 06X04 CTN RET,24,4527.53
762789,Hop House 13 500ml CAN 24X01,24,4641.00
762723,Tusker Pre AleC 500ml CAN 24X01,24,4863.94
765852,Tusker Prm Ale 500ml RET 06X04 CTN RET,24,4545.90
764848,Tusker Prm Ale 500ml NRB 06X04 NRB CTN,24,4878.76
688295,Senator Dark Lg 50L KEG EXTRA,1,4631.03
738783,Hop House n Btl 500ml RET 25X01,25,4527.53
754480,Hop House 13 500ml RET 25X01,25,4527.53
754509,Tusker Prm Ale 500ml RET 25X01,25,4353.77
678832,Tusker Lite Can 500ml CAN 24X01,24,4271.49
678847,Tusker Malt Can 500ml CAN 24X01,24,4271.49
674681,Guinness FES 500ml CAN 24X01 UG,24,262.27
680886,Guinness FES 500ml CAN 24X01 DEFCO,24,2377.45
616862,White Cap Light 300ml RET 25X01,25,3645.63
696906,Guinness FES 500ml RET 25X01 DEFCO,25,2336.84
764332,Tusker Malt In 330ml NRB 06X04 NRB CTN,24,4117.34
764333,Tusker Lite 330ml NRB 06X04 NRB CTN,24,4117.34
765877,Tusker Malt 330ml RET 06X04 CTN RET,24,4117.34
765878,Tusker Lite 330ml RET 06X04 CTN RET,24,4117.34
772715,Tusker Malt 330ml RET 06X04 CTN NCP,24,4117.34
772716,Tusker Lite 330ml RET 06X04 CTN NCP,24,4117.34
603482,Senator KEG Lager 50LT,1,4220.92
765827,White Cap Light 300ml RET 06X04 CTN RET,24,3645.63
765362,White Cap Light 300ml NRB 06X04 NRB CTN,24,3645.63
642754,Tusker Malt 330ml RET 25X01,25,4117.34
663869,Tusker Lite 330ml RET 25X01 LITE,25,4117.34
696894,Guinness FES 500ml RET 25X01,25,4117.34
713345,Tusker Malt 330ml RET 25X01,25,4117.34
771136,Tusker Malt 330ml RET 25X01 NCP,25,4117.34
771137,Tusker Lite 330ml RET 25X01 NCP,25,4117.34
672404,Guinness FES 500ml CAN 24X01,24,4086.73
672419,White Cap 500ml CAN 24X01,24,4086.73
714499,Guinness FES 500ml RET 25X01 5.8 ABV,25,4117.34
678660,Tusker Lite Can 500ml CAN 24X01 DEFCO,24,2562.21
678691,Tusker Malt Can 500ml CAN 24X01 DEFCO,24,2562.21
680140,Tusker Lite Can 500ml CAN 24X01 EL,24,2562.21
681091,Tusker Malt Can 500ml CAN 24X01 UG,24,2562.21
681165,White Cap 500ml CAN 24X01 AFCO,24,2377.45
720237,White Cap 500ml CAN 24X01 Export,24,2377.45
735652,Tusker Malt Can 500ml CAN 24X01 DutyFree,24,2562.21
