Date,Code,Description, Total bottles ,cause, Bollore Recharge value ,Location
2023-11-03,681232,Balozi LB       500ml RET 25X01 LOCAL,7,Breakages While Shunting,696.96,Isanda Canopy
2023-11-05,696894,Guinness FES    500ml RET 25X01,16,Breakages While Loading,1856.53,NEW WHS 
2023-11-05,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages At PVC,72.57,NEW WHS 
2023-11-04,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,40,Breakages While Loading,3713.22,NEW WHS 
2023-11-02,762947,White Cap Lager 500ml RET 25X01,175,Breakages While Loading,16333.48,NEW WHS 
2023-10-27,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,10,Breakages While Loading,928.3,OLD WHS
2023-10-27,663869,Tusker Lite     330ml RET 25X01 LITE,2,Breakages While Loading,145.14,OLD WHS
2023-10-27,663869,Tusker Lite     330ml RET 25X01 LITE,2,Breakages While Loading,145.14,OLD WHS
2023-11-07,762947,White Cap Lager 500ml RET 25X01,6,Breakages While Shunting,560,OLD WHS
2023-11-08,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,14,Breakages While Loading,1299.63,OLD WHS
2023-11-08,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,20,Breakages While Loading,1856.61,OLD WHS
2023-11-09,696894,Guinness FES    500ml RET 25X01,4,Breakages While Loading,464.13,NEW WHS 
2023-11-09,642754,Tusker Malt In  330ml RET 25X01 local,1,Breakages At PVC,74.64,NEW WHS 
2023-11-10,681232,Balozi Lager    500ml RET 25X01 LOCAL,15,Breakages While Loading,1493.49,OLD WHS
2023-11-10,696894,Guinness FES    500ml RET 25X01,2,Breakages At PVC,232.07,NEW WHS 
2023-11-11,681232,Balozi Lager    500ml RET 25X01 LOCAL,75,Breakages While Loading,7467.44,NEW WHS 
2023-11-12,677573,Pilsner Lager I 500ml RET 25X01 BOLD,26,Breakage During Offloading,2396.89,NEW WHS 
2023-11-16,726668,Tusker Cdr in B 500ml RET 25X01 LOCAL,2,Breakages While Loading,243.44,NEW WHS 
2023-11-13,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,12,Breakages While Shunting,1113.96,OLD WHS
2023-11-16,762947,White Cap Lager 500ml RET 25X01,58,Collapsing Load,5413.38,NEW WHS 
2023-11-17,762947,White Cap Lager 500ml RET 25X01,2,Breakages While Loading,186.67,NEW WHS 
2023-11-19,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,6,Breakages While Loading,556.98,OLD WHS
2023-11-21,703125,Tusker In Bottl 500ml RET 25X01 EXP,15,Breakages While Loading,319.38,OLD WHS
2023-11-23,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,13,Breakages While Unstacking,1206.8,NEW WHS 
2023-11-23,733318,Tusker Cider    500ml CAN 24X01 Cider,6,Breakages In The Warehouse,902.11,NEW WHS 
2023-11-23,681232,Balozi Lager    500ml RET 25X01 LOCAL,3,Breakages While Loading,298.7,NEW WHS 
2023-11-25,696894,Guinness FES    500ml RET 25X01,10,Breakages While Shunting,1160.33,OLD WHS
2023-11-25,681232,Balozi Lager    500ml RET 25X01 LOCAL,1,Breakages At PVC,99.57,NEW WHS 
2023-11-26,733318,Tusker Cider    500ml CAN 24X01 Cider,1,Breakages At PVC,150.35,NEW WHS 
2023-11-28,704768,Tusker Lite     330ml RET 25X01 EXP,6,Breakages While Loading,145.07,OLD WHS
2023-11-28,762947,White Cap Lager 500ml RET 25X01,1,Breakages While Loading,93.33,NEW WHS 
2023-12-01,677573,Pilsner Lager I 500ml RET 25X01 BOLD,1,Breakages At PVC,92.19,NEW WHS 
2023-12-02,677573,Pilsner Lager I 500ml RET 25X01 BOLD,2,Breakages While Loading,184.38,NEW WHS 
2023-12-02,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,1,Breakages While Loading,92.83,NEW WHS 
2023-12-02,762947,White Cap Lager 500ml RET 25X01,1,Breakages While Loading,93.33,NEW WHS 
2023-12-02,681232,Balozi Lager    500ml RET 25X01 LOCAL,4,Housekeeping Breakages,398.26,NEW WHS 
2023-12-02,672279,Alvaro Pnapple  330ml CAN 24X01,6,Housekeeping Breakages,243.27,NEW WHS 
2023-12-05,696894,Guinness FES    500ml RET 25X01,50,Breakages While Loading,5801.67,NEW WHS 
2023-12-07,681232,Balozi Lager    500ml RET 25X01 LOCAL,13,Breakages While Loading,1294.36,NEW WHS 
2023-12-08,680777,Tusker In Can   500ml CAN 24X01 DEFCO,3,Breakages While Loading,145.3,NEW WHS 
2023-12-08,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,3,Breakages While Loading,278.49,OLD WHS
2023-12-09,696894,Guinness FES    500ml RET 25X01,14,Breakages While Loading,1624.47,OLD WHS
2023-12-10,696894,Guinness FES    500ml RET 25X01,32,Breakage During Offloading,3713.07,NEW WHS 
2023-12-10,762947,White Cap Lager 500ml RET 25X01,25,Breakages While Loading,2333.35,NEW WHS 
2023-12-12,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,15,Breakages While Loading,1392.46,OLD WHS
2023-12-12,703125,Tusker In Bottl 500ml RET 25X01 EXP,11,Breakages While Loading,234.21,OLD WHS
