GROUP,SKU,Description,BPC,Recharge Price / Case
Beer,672404,Guinness FES    500ml CAN 24X01,24,4086.73
Beer,672419,White Cap       500ml CAN 24X01,24,4086.73
Beer,714499,Guinness FES    500ml RET 25X01 5.8 ABV,25,4117.34
Beer,678660,Tusker Lite Can 500ml CAN 24X01 DEFCO,24,2562.21
Beer,678691,Tusker Malt Can 500ml CAN 24X01 DEFCO,24,2562.21
Beer,680140,Tusker Lite Can 500ml CAN 24X01 EL,24,2562.21
Beer,681091,Tusker Malt Can 500ml CAN 24X01 UG,24,2562.21
Beer,681165,White Cap       500ml CAN 24X01 AFCO,24,2377.45
Beer,720237,White Cap       500ml CAN 24X01 Export,24,2377.45
Beer,735652,Tusker Malt Can 500ml CAN 24X01 DutyFree,24,2562.21
Beer,733756,Tusker Cider    500ml CAN 24X01 CderAFCO,24,2192.69
Beer,764334,White Cap Lager 500ml NRB 06X04 NRB CTN,24,3912.57
Beer,764356,Guinness Kubwa  500ml NRB 06X04 NRB CTN,24,4117.34
Beer,765830,Guinness FES    500ml RET 06X04 CTN RET,24,4117.34
Beer,765879,White Cap Lager 500ml RET 06X04 CTN RET,24,3912.57
Beer,764847,Tusker Cdr in B 500ml NRB 06X04 NRB CTN,24,3912.57
Beer,748291,Tusker Cdr in B 500ml RET 25X01 DEFCO,25,2132.07
Beer,616861,White Cap Lager 500ml RET 25X01,25,3912.57
Beer,762947,White Cap Lager 500ml RET 25X01,25,3912.57
Beer,616892,White Cap Lager 500ml RET 25X01,25,3912.57
Beer,754246,Tusker Cider    500ml RET 25X01 LOCAL,25,3912.57
Beer,726668,Tusker Cdr in B 500ml RET 25X01 LOCAL,25,3912.57
Beer,771134,Tusker Cdr in B 500ml RET 25X01 NCP,25,3912.57
Beer,733318,Tusker Cider    500ml CAN 24X01 Cider,24,3901.97
Beer,674514,Tusker In Can   500ml CAN 24X01 EL,24,2007.93
Beer,674827,Pilsner Lager I 500ml CAN 24X01 DEFCO,24,1638.41
Beer,680777,Tusker In Can   500ml CAN 24X01 DEFCO,24,2007.93
Beer,735543,Tusker In Can   500ml CAN 24X01 DutyFree,24,2007.93
Beer,661263,Tusker In Bottl 500ml RET 25X01 DEFCO,25,1927.31
Beer,666147,Pilsner Lager I 500ml RET 25X01 DEFCO,25,1722.54
Beer,703125,Tusker In Bottl 500ml RET 25X01 EXP,25,1927.31
Beer,765851,Tusker Cider    500ml RET 06X04 CTN RET,24,3912.57
Beer,672403,Tusker In Can   500ml CAN 24X01,24,3717.21
Beer,762724,Guinness Smth C 500ml CAN 24X01,24,3717.21
Beer,766268,Balozi Lager Ca 500ml CAN 24X01,24,3717.21
Beer,661314,Tusker In Bottl 500ml RET 25X01 LOCAL,25,3707.81
Beer,681232,Balozi LB       500ml RET 25X01 LOCAL,25,3707.81
Beer,730510,Tusker In Bottl 500ml RET 25X01 LOCAL,25,3707.81
Beer,758963,Guin Smth Btl   500ml RET 25X01,25,3707.81
Beer,675369,Tusker Malt     330ml RET 25X01 EXPORT,25,2942.21
Beer,644249,Tusker Malt     330ml RET 25X01 UBL,25,2942.21
Beer,677573,Pilsner Lager I 500ml RET 25X01 BOLD,25,3503.04
Beer,733152,Pilsner         500ml RET 25X01,25,3303.9
Beer,764355,Pilsner Lager I 500ml NRB 06X04 NRB CTN,24,3503.04
Beer,765829,Pilsner Lager I 500ml RET 06X04 CTN RET,24,3503.04
Beer,764336,Balozi LB       500ml NRB 06X04 NRB CTN,24,3707.81
Beer,765881,Balozi LB       500ml RET 06X04 CTN RET,24,3707.81
Beer,764354,Tusker In Bottl 500ml NRB 06X04 NRB CTN,24,3707.81
Beer,764359,Guin Smth Btl   500ml NRB 06X04 NRB CTN,24,3707.81
Beer,765828,Tusker In Bottl 500ml RET 06X04 CTN RET,24,3707.81
Beer,765880,Guinness Smooth 500ml RET 06X04 CTN RET,24,3707.81
Beer,772714,Tusker In Bottl 500ml RET 06X04  CTN NCP,24,3707.81
Beer,672362,Pilsner Lager I 500ml CAN 24X01,24,3347.69
Beer,735501,Tusker In Can   330ml CAN 24X01 DutyFree,24,2034.81
Beer,762725,Sikera AplCdr   330ml CAN 24X01,24,3140.86
Beer,616880,Tusker In Bottl 500ml NRB 24X01,24,3707.81
Beer,764345,SkrAplCdr Btl   300ml NRB 06X04 NRB CTN,24,3087.83
Beer,765882,SkrAplCdr Btl   300ml RET 06X04 CTN RET,24,3087.83
Beer,672358,Tusker In Can   330ml CAN 24X01,24,3162.93
Beer,765826,Tusker Cider    330ml RET 06X04 CTN RET,24,2991.13
Beer,758950,Sikera App Cdr  300ml RET 25X01,25,3087.83
Beer,759449,Tusker Cdr in B 330ml RET 25X01 LOCAL,25,2991.13
Beer,696875,Guinness FES    300ml RET 25X01,25,2888.75
Beer,716077,Allsopps Lager  500ml RET 25X01 SHEEN,25,2888.75
Beer,663562,Guinness FES    300ml RET 25X01 S.SUDAN,25,1820.45
Beer,767380,Guinness Smooth 300ml RET 25X01,25,2376.84
Beer,672279,Alvaro Pnapple  330ml CAN 24X01,24,2054.38
Beer,623246,Alvaro Pnapple  330ml BTL 25X01,25,1915.9
Beer,680219,Alvaro Pnapple  330ml CAN 24X01 EL,24,2003.62
Beer,616895,Tusker In Bottl 500ml NRB 12X01,12,3707.81
Beer,773424,White Cap Lager 500ml RET 25X01 Sudan,25,1742.32
Beer,784539,Guinness FES    500ml CAN 24X01 SUDAN,24,2758.67
Beer,784552,Guinness FES    500ml CAN 24X01 SOMALIA,24,2686.08
Beer,784554,Guinness FES    500ml CAN 24X01 SEYCHELL,24,2686.08
Beer,784526,Tusker Malt Can 500ml CAN 24X01 SEYCHELL,24,2686.08
Beer,785911,Tusker In Can   500ml CAN 24X01 Somalia,24,2323.09
Beer,784525,Tusker Malt Can 500ml CAN 24X01 SOMALIA,24,2686.06
Beer,784524,Tusker Malt Can 500ml CAN 24X01 SUDAN,24,5195.28
Beer,786887,Pilsner         300ml RET 25X01 7%,25,2825.04
Beer,784553,Guinness FES    500ml CAN 24X01 BURUDI,24,4425.75
Beer,785900,Tusker Lite Can 500ml CAN 24X01 Somali,24,2758.67
Beer,782264,Tusker Ndimu 25 300ml RET 25X01 RET,25,3622.29
Beer,788724,Tusker Ndimu 25 300ml RET 06X04 BBIC,24,0
Beer,785966,Tusker Lite Can 500ml CAN 24X01 Sudan,24,5195.28
Beer,785912,Tusker In Can   500ml CAN 24X01 Rwanda,24,4271.49
Beer,735653,Tusker Cider    500ml CAN 24X01 DutyFree,24,1597.13
Beer,735522,White Cap       500ml CAN 24X01 DutyFree,24,2758.67
Beer,735651,Tusker Lite Can 500ml CAN 24X01 DutyFree,24,2758.67
Beer,788767,White Cap Crisp 300ml RET 25X01 UG,25,4826.09
Beer,788759,White Cap Crisp 330ml CAN 24X01 UG,24,5010.52
Beer,735521,Guinness FES    500ml CAN 24X01 DutyFree,24,2758.67
Beer,788614,Manyatta C P&M  300ml BTL 25X01,25,5187.24
Beer,788611,Manyatta SC     300ml BTL 25X01,25,5187.24
Beer,788613,Manyatta C L&G  300ml BTL 25X01,25,5187.24
Beer,788612,Manyatta C M&G  300ml BTL 25X01,25,0
Beer,788798,Tusker Malt Can 500ml CAN 24X01 Rwanda,24,0
Beer,789284,Manyatta SC     300ml RET 06X04 CTN RET,24,0
Beer,789285,Manyatta C M&G  300ml RET 06X04 CTN RET,24,0
Beer,789291,Manyatta C L&G  300ml RET 06X04 CTN RET,24,0
Beer,789257,Manyatta C P&M  300ml RET 06X04 CTN RET,24,0
Beer,789318,Nairob Summer A 300ml RET 25X01 local,25,0
Beer,789314,Guinness FES    330ml CAN 24X01,24,0
